patient,histology,config,source,target
20,AAH,expression020,Alveolar macrophages,Alveolar fibroblasts
20,AAH,expression020,Interstitial Mph perivascular,AT2
20,AAH,expression020,Interstitial Mph perivascular,Adventitial fibroblasts
20,AAH,expression020,Interstitial Mph perivascular,Alveolar fibroblasts
20,AAH,uncertainty030,AT2,Adventitial fibroblasts
20,AAH,uncertainty030,AT2,Alveolar fibroblasts
20,AAH,uncertainty030,Adventitial fibroblasts,AT2
20,AAH,uncertainty030,Adventitial fibroblasts,Alveolar macrophages
20,AAH,uncertainty030,Adventitial fibroblasts,Interstitial Mph perivascular
20,AAH,uncertainty030,Alveolar fibroblasts,AT2
20,AAH,uncertainty030,Alveolar fibroblasts,Alveolar macrophages
20,AAH,uncertainty030,Alveolar fibroblasts,Interstitial Mph perivascular
20,AAH,uncertainty030,Alveolar macrophages,AT2
20,AAH,uncertainty030,Alveolar macrophages,Adventitial fibroblasts
20,AAH,uncertainty030,Alveolar macrophages,Alveolar fibroblasts
20,AAH,uncertainty030,Interstitial Mph perivascular,AT2
20,AAH,uncertainty030,Interstitial Mph perivascular,Adventitial fibroblasts
20,AAH,uncertainty030,Interstitial Mph perivascular,Alveolar fibroblasts
20,AAH,largest_library,AT2,Adventitial fibroblasts
20,AAH,largest_library,AT2,Alveolar fibroblasts
20,AAH,largest_library,Adventitial fibroblasts,AT2
20,AAH,largest_library,Adventitial fibroblasts,Alveolar macrophages
20,AAH,largest_library,Adventitial fibroblasts,Interstitial Mph perivascular
20,AAH,largest_library,Alveolar fibroblasts,AT2
20,AAH,largest_library,Alveolar fibroblasts,Alveolar macrophages
20,AAH,largest_library,Alveolar fibroblasts,Interstitial Mph perivascular
20,AAH,largest_library,Alveolar macrophages,AT2
20,AAH,largest_library,Alveolar macrophages,Adventitial fibroblasts
20,AAH,largest_library,Alveolar macrophages,Alveolar fibroblasts
20,AAH,largest_library,Interstitial Mph perivascular,AT2
20,AAH,largest_library,Interstitial Mph perivascular,Adventitial fibroblasts
20,AAH,largest_library,Interstitial Mph perivascular,Alveolar fibroblasts
20,LUAD,all_cells_primary,AT2,Alveolar fibroblasts
20,LUAD,all_cells_primary,AT2,Peribronchial fibroblasts
20,LUAD,all_cells_primary,Alveolar fibroblasts,AT2
20,LUAD,all_cells_primary,Alveolar fibroblasts,Alveolar macrophages
20,LUAD,all_cells_primary,Alveolar macrophages,AT2
20,LUAD,all_cells_primary,Alveolar macrophages,Alveolar fibroblasts
20,LUAD,all_cells_primary,Alveolar macrophages,Peribronchial fibroblasts
20,LUAD,all_cells_primary,Peribronchial fibroblasts,AT2
20,LUAD,all_cells_primary,Peribronchial fibroblasts,Alveolar macrophages
20,LUAD,cap500_seed1,AT2,Alveolar fibroblasts
20,LUAD,cap500_seed1,AT2,Peribronchial fibroblasts
20,LUAD,cap500_seed1,Alveolar fibroblasts,AT2
20,LUAD,cap500_seed1,Alveolar fibroblasts,Alveolar macrophages
20,LUAD,cap500_seed1,Alveolar macrophages,AT2
20,LUAD,cap500_seed1,Alveolar macrophages,Alveolar fibroblasts
20,LUAD,cap500_seed1,Alveolar macrophages,Peribronchial fibroblasts
20,LUAD,cap500_seed1,Peribronchial fibroblasts,AT2
20,LUAD,cap500_seed1,Peribronchial fibroblasts,Alveolar macrophages
20,LUAD,cap500_seed2,AT2,Alveolar fibroblasts
20,LUAD,cap500_seed2,AT2,Peribronchial fibroblasts
20,LUAD,cap500_seed2,Alveolar fibroblasts,AT2
20,LUAD,cap500_seed2,Alveolar fibroblasts,Alveolar macrophages
20,LUAD,cap500_seed2,Alveolar macrophages,AT2
20,LUAD,cap500_seed2,Alveolar macrophages,Alveolar fibroblasts
20,LUAD,cap500_seed2,Alveolar macrophages,Peribronchial fibroblasts
20,LUAD,cap500_seed2,Peribronchial fibroblasts,AT2
20,LUAD,cap500_seed2,Peribronchial fibroblasts,Alveolar macrophages
20,LUAD,floor30,AT2,Alveolar fibroblasts
20,LUAD,floor30,AT2,Peribronchial fibroblasts
20,LUAD,floor30,Alveolar fibroblasts,AT2
20,LUAD,floor30,Alveolar fibroblasts,Alveolar macrophages
20,LUAD,floor30,Alveolar fibroblasts,Interstitial Mph perivascular
20,LUAD,floor30,Alveolar macrophages,AT2
20,LUAD,floor30,Alveolar macrophages,Alveolar fibroblasts
20,LUAD,floor30,Alveolar macrophages,Peribronchial fibroblasts
